date,classification,trades,total_pnl,total_volume,win_rate,unique_traders
2024-03-21,Extreme Greed,28.0,2335.5080749999997,117895.57,1.0,3.0
2024-03-24,Greed,19.0,1297.0184769999998,92592.21000000002,1.0,1.0
2024-03-25,Extreme Greed,7.0,1302.916428,57116.32,1.0,1.0
2024-03-26,Extreme Greed,118.0,3215.9065929999997,198565.19000000003,1.0,2.0
2024-03-27,Extreme Greed,38.0,150.41114000000002,99864.79,0.631578947368421,2.0
2024-03-28,Extreme Greed,13.0,227.85100799999998,35323.72,1.0,2.0
2024-03-29,Extreme Greed,15.0,883.097404,86914.37000000002,1.0,1.0
2024-03-30,Extreme Greed,45.0,1100.5751400000001,101103.92000000001,1.0,1.0
2024-03-31,Extreme Greed,13.0,912.7861449999999,39912.95999999999,1.0,1.0
2024-04-01,Extreme Greed,77.0,2507.963406,339470.47000000003,0.9767441860465116,2.0
2024-04-02,Extreme Greed,41.0,883.760812,239664.51,1.0,2.0
2024-04-03,Greed,4.0,126.7884,16887.57,1.0,2.0
2024-04-04,Greed,32.0,0.0,95987.73,,1.0
2024-04-05,Extreme Greed,100.0,10706.484305999998,503791.8,1.0,3.0
2024-04-06,Extreme Greed,16.0,236.33513399999998,68223.67000000001,1.0,1.0
2024-04-07,Extreme Greed,23.0,0.0,49988.13999999999,,1.0
2024-04-08,Extreme Greed,30.0,1218.4267,211940.64,1.0,2.0
2024-04-09,Extreme Greed,3.0,0.0,57063.840000000004,,1.0
2024-04-10,Extreme Greed,41.0,5207.443413999999,351735.97,1.0,1.0
2024-04-11,Extreme Greed,16.0,389.743164,76400.95999999999,1.0,1.0
2024-04-12,Extreme Greed,129.0,-592.645839,442088.58999999997,0.7029702970297029,3.0
2024-04-13,Greed,89.0,6621.451755000001,486411.25,1.0,2.0
2024-04-14,Greed,107.0,-36104.01252,659162.1699999999,0.44594594594594594,2.0
2024-04-15,Greed,41.0,3774.0887199999997,291111.19,1.0,2.0
2024-04-16,Greed,47.0,2467.7022209999996,181907.17,1.0,2.0
2024-04-17,Greed,14.0,2441.4683999999997,97562.99000000002,1.0,1.0
2024-04-19,Greed,35.0,1946.445462,337257.9199999999,1.0,1.0
2024-04-20,Greed,22.0,0.0,60733.23999999999,,2.0
2024-04-22,Greed,9.0,0.0,47993.61,,1.0
2024-04-23,Greed,66.0,1119.536196,233054.9,1.0,2.0
2024-04-24,Greed,20.0,279.185907,141275.24,0.8571428571428571,1.0
