Account,classification,trades,total_pnl,win_rate
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,37,124769.221441,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1051,1113373.547515,0.89058039961941
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,245,125650.11674,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,153,276719.270187,0.6013071895424836
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,246,-40282.335904,0.25609756097560976
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,62,-4235.153050999999,0.8225806451612904
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,1572,-1658.7368009999998,0.7977099236641222
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,394,-11933.080125,0.6598984771573604
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,1662,30053.395556,0.7111913357400722
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,476,35658.894935000004,1.0
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,306,16706.884912,0.9803921568627451
0x271b280974205ca63b716753467d5a371de622ab,Fear,756,30121.91049,0.9444444444444444
0x271b280974205ca63b716753467d5a371de622ab,Neutral,235,-19038.340561,0.0
0x271b280974205ca63b716753467d5a371de622ab,Greed,306,-100019.806374,0.43137254901960786
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,4,1793.1602149999999,1.0
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,278,-25666.012284,0.5935251798561151
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,673,13422.524859,0.8945022288261516
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,442,5505.749364,0.9366515837104072
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,1440,31192.591971,0.925
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,3939,108009.960644,0.8441228738258442
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,77,11415.247787,1.0
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,267,3979.190772,0.6179775280898876
