,same_day_corr,next_day_lagged_corr
total_pnl,-0.08264200129021668,-0.10715930133025635
total_volume,-0.2643713973011387,-0.27667426352230584
win_rate,0.05539931300124056,0.0611981432648943
trades,-0.24524140464293262,-0.23680758809742045
